year,korea_gdp,usa_gdp,ratio_korea_usa,korea_growth,usa_growth,growth_diff
1970,0.732914353143102,0.113667808624405,6.447862081734036,,,
1971,301.178736655376,4.29276668813051,70.15958670386966,40993.30583631927,3676.5896431725823,37316.71619314668
1972,21.442463153455,6094.01798986165,0.003518608443415803,-92.88048572366829,141860.1490738268,-141953.02955955046
1973,406.897093528455,6726.35895596695,0.060492919897992777,1797.6229112134074,10.376421060083807,1787.2464901533235
1974,24.3041995402397,8.24886441808829,2.9463691374227126,-94.02694196474026,-99.8773650875297,5.8504231227894365
1975,31.3289578512083,1684904000000.0,1.8593912680608687e-11,28.903475299969994,20425890335851.04,-20425890335822.137
1976,13.2214478025627,8592.25353727612,0.001538763695135806,-57.797996775520666,-99.99999949004493,42.20200271452426
1977,10.0966653313387,7.6542900319239,1.3190858053755916,-23.6341928500321,-99.91091638533806,76.27672353530596
1978,24.9959251823729,7.947060702101,3.1453044237808094,147.566145475664,3.8249226114510426,143.74122286421297
1979,0.256920033454415,11.2544711292795,0.02282826358548425,-98.97215233451094,41.61803402739965,-140.59018636191058
1980,65398377597.5108,13.5492019749684,4826732800.819683,25454759879150.273,20.389504040922503,25454759879129.883
1981,72933533011.7706,0.800738125892372,91082877976.4805,11.521930193183572,-94.09014547593502,105.61207566911858
1982,27.3678312205647,3343789000000.0,8.184676491418776e-12,-99.99999996247566,417588334047758.44,-417588334047858.44
1983,0.210003233969985,0.316452387124185,0.6636171585824495,-99.23266395397754,-99.99999999999054,0.7673360460129999
1984,2.27395640001863,4.30053547523429,0.5287612235996603,982.8197056925505,1258.9834206390854,-276.1637149465348
1985,25.7854049202482,4.16957534780626,6.184180106929758,1033.9445611198591,-3.0452051420618798,1036.989766261921
1986,0.584150913524,9.88872247567544,0.059072434782239155,-97.73456761555336,137.16377930136687,-234.89834691692022
1987,147948709376.434,3.6645632175169,40372808598.09637,25327138236131.74,-62.94199552539676,25327138236194.68
1988,4748.64064406123,5236438000000.0,9.068455778644243e-10,-99.99999679034669,142893919116083.2,-142893919116183.2
1989,5817.06556721983,4.82700303008944,1205.1091600644893,22.4995952156287,-99.99999999990781,122.49959521553652
1990,0.368992954353942,9.25473206751338,0.0398707333353504,-99.99365671660239,91.72832521180123,-191.72198192840364
1991,330647042837.334,4.23496396453849,78075526877.2084,89607955635869.61,-54.24001544675332,89607955635923.84
