term,similar_word,similarity
stock,beat,0.5512072443962097
stock,middle,0.5266278386116028
stock,africa,0.520842432975769
stock,expands,0.5203874707221985
stock,europe,0.5030533671379089
market,increased,0.4944373667240143
market,exxons,0.42692437767982483
market,chain,0.4184427261352539
market,mount,0.40157705545425415
market,practices,0.40107452869415283
growth,dividend,0.5799359679222107
growth,confidence,0.5233437418937683
growth,raises,0.45979976654052734
growth,shows,0.45975950360298157
growth,resilience,0.4327909052371979
earnings,mixed,0.4584776759147644
earnings,fullyear,0.4500643014907837
earnings,week,0.4247817397117615
earnings,outlook,0.4151324927806854
earnings,surges,0.4118521809577942
fed,markets,0.7459299564361572
fed,rate,0.544065535068512
fed,potential,0.5274559259414673
fed,flat,0.4893588721752167
fed,await,0.4492012560367584
inflation,surge,0.9168965220451355
inflation,oil,0.9073638319969177
inflation,prices,0.8804029822349548
inflation,raising,0.8678414821624756
inflation,rises,0.5582339763641357
bank,amazon,0.5778768658638
bank,tesla,0.5773760080337524
bank,google,0.5743542313575745
bank,meta,0.5734244585037231
bank,nvidia,0.5733698010444641
