source,target,weight
fed,markets,2109
market,volatility,1477
street,wall,1187
goldman,sachs,909
flat,markets,869
fed,investors,869
fed,flat,869
decision,investors,869
decision,flat,869
decision,markets,869
decision,fed,869
flat,investors,869
investors,markets,869
await,investors,869
await,decision,869
await,flat,869
await,markets,869
await,fed,869
america,bank,856
amid,economic,847
maintains,uncertainty,847
guidance,uncertainty,847
amid,guidance,847
economic,uncertainty,847
economic,maintains,847
guidance,maintains,847
amid,maintains,847
economic,guidance,847
amid,uncertainty,847
experts,say,829
experts,market,829
experts,volatility,829
"continue,",experts,829
"continue,",say,829
"continue,",volatility,829
"continue,",market,829
market,say,829
expected,market,829
expected,volatility,829
expected,experts,829
say,volatility,829
expected,say,829
"continue,",expected,829
continues,reassess,820
continues,portfolios,820
continues,sector,820
continues,investors,820
rotation,sector,820
portfolios,reassess,820
reassess,rotation,820
portfolios,sector,820
continues,rotation,820
portfolios,rotation,820
investors,sector,820
investors,portfolios,820
investors,reassess,820
investors,rotation,820
reassess,sector,820
files,patent,801
discusses,strategic,790
ceo,strategic,790
ceo,priorities,790
conference,discusses,790
ceo,conference,790
conference,strategic,790
conference,priorities,790
ceo,discusses,790
discusses,priorities,790
priorities,strategic,790
mixed,"week,",780
report,"week,",780
next,"week,",780
mixed,next,780
mixed,report,780
next,report,780
earnings,mixed,780
earnings,"week,",780
analysts,"week,",780
analysts,report,780
analysts,next,780
analysts,earnings,780
analysts,mixed,780
earnings,next,780
earnings,report,780
holiday,volume,777
holiday,light,777
holiday,trading,777
ahead,holiday,777
ahead,weekend,777
ahead,light,777
ahead,trading,777
light,weekend,777
ahead,volume,777
light,trading,777
light,volume,777
volume,weekend,777
trading,weekend,777
trading,volume,777
holiday,weekend,777
growth,signals,666
confidence,signals,666
raises,signals,666
confidence,growth,666
confidence,raises,666
confidence,dividend,666
dividend,signals,666
dividend,growth,666
growth,raises,666
dividend,raises,666
earnings,misses,664
regulatory,scrutiny,664
"estimates,",outlook,664
cuts,full-year,664
cuts,misses,664
cuts,"estimates,",664
cuts,outlook,664
cuts,earnings,664
faces,scrutiny,664
full-year,misses,664
faces,regulatory,664
earnings,outlook,664
"estimates,",full-year,664
earnings,full-year,664
misses,outlook,664
earnings,"estimates,",664
full-year,outlook,664
"estimates,",misses,664
beat,strong,660
beat,surges,660
beat,earnings,660
stock,strong,660
beat,stock,660
strong,surges,660
earnings,stock,660
earnings,surges,660
earnings,strong,660
stock,surges,660
announces,employees,648
announces,layoffs,648
concerns,mount,648
concerns,market,648
mount,volatility,648
amid,volatility,648
amid,mount,648
amid,market,648
amid,concerns,648
employees,layoffs,648
concerns,volatility,648
affecting,layoffs,648
affecting,announces,648
affecting,employees,648
market,mount,648
guidance,plunges,636
plunges,stock,636
disappointing,plunges,636
disappointing,guidance,636
disappointing,stock,636
guidance,stock,636
exceeds,gdp,635
economy,resilience,635
exceeds,resilience,635
exceeds,expectations,635
expectations,shows,635
expectations,gdp,635
expectations,growth,635
expectations,resilience,635
gdp,resilience,635
exceeds,shows,635
economy,exceeds,635
exceeds,growth,635
economy,expectations,635
economy,growth,635
economy,gdp,635
gdp,shows,635
growth,shows,635
growth,resilience,635
gdp,growth,635
economy,shows,635
resilience,shows,635
fed,rally,626
potential,rally,626
rally,signals,626
fed,signals,626
markets,potential,626
markets,rally,626
rally,rate,626
markets,rate,626
fed,potential,626
potential,signals,626
potential,rate,626
fed,rate,626
"cuts,",potential,626
"cuts,",markets,626
"cuts,",rally,626
"cuts,",rate,626
"cuts,",fed,626
"cuts,",signals,626
rate,signals,626
markets,signals,626
inflation,prices,625
inflation,oil,625
inflation,surge,625
oil,prices,625
prices,surge,625
oil,surge,625
concerns,prices,625
concerns,inflation,625
concerns,oil,625
concerns,surge,625
economic,unemployment,615
concerns,economic,615
concerns,unemployment,615
markets,raises,614
fed,raises,614
expectations,investors,602
sector,tech,593
market,rally,593
rally,tech,593
rally,sector,593
market,sector,593
market,tech,593
earnings,walmart,170
earnings,nvidia,163
earnings,tesla,162
apple,earnings,162
earnings,meta,159
earnings,exxon,151
earnings,johnson,150
stock,walmart,150
nvidia,stock,148
google,stock,148
jpmorgan,stock,146
earnings,sachs,145
earnings,goldman,145
earnings,google,143
bank,earnings,142
america,earnings,142
earnings,microsoft,141
amazon,earnings,139
coca-cola,earnings,139
coca-cola,stock,139
earnings,jpmorgan,138
exxon,stock,133
johnson,stock,132
amazon,stock,131
stock,tesla,130
amid,bank,130
faces,market,126
market,scrutiny,126
market,regulatory,126
microsoft,stock,123
apple,stock,123
meta,stock,122
bank,stock,117
america,stock,117
guidance,microsoft,116
amazon,guidance,116
guidance,nvidia,115
guidance,tesla,115
goldman,stock,115
sachs,stock,115
america,guidance,114
guidance,johnson,114
bank,guidance,114
market,wall,113
