word,pagerank,frequency,rank
wall,0.02782442204010016,1187,1
street,0.02782442204010016,1187,2
upgrades,0.02004787527035262,612,3
'buy',0.02004787527035262,612,4
target,0.02004787527035262,612,5
concerns,0.013584825974017856,2504,6
market,0.01338839893592907,2309,7
earnings,0.012248189580386815,2104,8
announces,0.01217312418980455,1273,9
stock,0.011037186197578808,1857,10
goldman,0.009216471709701217,956,11
sachs,0.008846353776186868,909,12
amid,0.008808881839935922,1495,13
growth,0.008756915921626156,1412,14
bank,0.008113517716010474,917,15
downgrades,0.008014806416483401,575,16
citing,0.008014806416483401,575,17
investors,0.007983209571819487,2291,18
tesla,0.007674287031031753,936,19
america,0.007651244590745443,856,20
walmart,0.007620363653002872,932,21
guidance,0.00761312506061408,1483,22
volatility,0.007603303030329734,1477,23
analysts,0.0075828032401621896,1382,24
meta,0.007554762914385302,916,25
johnson,0.007367328548877624,941,26
worth,0.007363591602691898,617,27
deal,0.007363591602691898,617,28
partners,0.007363591602691898,617,29
landmark,0.007363591602691898,617,30
google,0.007267747473887233,927,31
microsoft,0.007170229602170828,896,32
nvidia,0.007125560936658349,916,33
expectations,0.0070915148850339985,1237,34
coca-cola,0.00698453617960308,896,35
economic,0.006919678688788715,1462,36
amazon,0.0068447431144106384,876,37
exxon,0.006594888294250079,866,38
apple,0.006564261197280047,878,39
jpmorgan,0.006559670119261622,857,40
revenue,0.006372063408801512,625,41
record,0.006372063408801512,625,42
quarterly,0.006372063408801512,625,43
gdp,0.006196133074381821,1219,44
fed,0.00608616777893503,2109,45
markets,0.00608616777893503,2109,46
sector,0.0060704888187420114,1413,47
affecting,0.006043849071709001,648,48
employees,0.006043849071709001,648,49
layoffs,0.006043849071709001,648,50
rally,0.00585597767151438,1219,51
signals,0.005852872635201902,1292,52
tech,0.005637056852292544,1176,53
raises,0.0054750998335726135,1280,54
regulatory,0.005432441438012723,773,55
unemployment,0.0049534301058901465,1220,56
mount,0.0047312211571949175,648,57
mixed,0.004595249280647156,780,58
next,0.004595249280647156,780,59
report,0.004595249280647156,780,60
"week,",0.004595249280647156,780,61
maintains,0.004343717930719133,847,62
uncertainty,0.004343717930719133,847,63
ceo,0.004202975541583953,790,64
conference,0.004202975541583953,790,65
discusses,0.004202975541583953,790,66
strategic,0.004202975541583953,790,67
priorities,0.004202975541583953,790,68
surges,0.00416694397477043,660,69
strong,0.00416694397477043,660,70
beat,0.00416694397477043,660,71
patent,0.004083195374794162,801,72
files,0.004083195374794162,801,73
cuts,0.004009066943080308,664,74
outlook,0.004009066943080308,664,75
"estimates,",0.004009066943080308,664,76
misses,0.004009066943080308,664,77
full-year,0.004009066943080308,664,78
scrutiny,0.003990101422208814,664,79
faces,0.003990101422208814,664,80
expands,0.003860821158593451,561,81
jumps,0.003860821158593451,561,82
leads,0.003852196806347001,593,83
all-time,0.003852196806347001,593,84
hits,0.003852196806347001,593,85
high,0.003852196806347001,593,86
confidence,0.003833245610835716,666,87
dividend,0.003833245610835716,666,88
shows,0.0037337350142776487,635,89
resilience,0.0037337350142776487,635,90
economy,0.0037337350142776487,635,91
exceeds,0.0037337350142776487,635,92
sales,0.0036202831047012387,602,93
exceed,0.0036202831047012387,602,94
bullish,0.0036202831047012387,602,95
due,0.0035494552474770774,616,96
safety,0.0035494552474770774,616,97
recalls,0.0035494552474770774,616,98
disappointing,0.003522770839307223,636,99
plunges,0.003522770839307223,636,100
