company_mentioned,avg_sentiment,mention_count,positive_mentions,negative_mentions,sentiment_ratio
Walmart,0.057083333333333326,984,421,322,0.566621803499327
Tesla,0.04791521961184881,979,413,318,0.5649794801641587
Meta,0.031585390946502076,972,406,346,0.5398936170212766
Google,0.0693755186721992,964,441,319,0.5802631578947368
Goldman Sachs,0.05283158995815897,956,405,326,0.5540355677154583
NVIDIA,0.08620000000000005,950,429,298,0.5900962861072903
Microsoft,0.030698193411264636,941,380,314,0.547550432276657
Johnson & Johnson,0.04561742826780022,941,383,322,0.5432624113475177
Coca-Cola,0.06091944146079485,931,402,302,0.5710227272727273
Apple,0.028756756756756707,925,367,324,0.5311143270622286
Amazon,0.04090800865800866,924,374,313,0.5443959243085881
Bank of America,0.03149509269356595,917,359,320,0.5287187039764359
Exxon,0.05403934426229505,915,380,311,0.5499276410998553
JPMorgan,0.03529625550660794,908,378,316,0.5446685878962536
