country_code,country_name,value,gdp_growth,rank
1W,World,111252997846886.0,4.033830431529005,1
XD,High income,71522995943824.2,4.232427414312757,2
OE,OECD members,67687054565878.2,4.44968497524081,3
V4,Post-demographic dividend,63040640005163.4,4.132545434550849,4
ZT,IDA & IBRD total,43918119394039.4,3.990649181054843,5
XF,IBRD only,41102217227752.3,4.1992342434279735,6
XO,Low & middle income,39216943108499.1,3.6815368064807585,7
XP,Middle income,38748293620690.3,3.6121508477346116,8
Z4,East Asia & Pacific,31882663454356.9,1.9286797836728555,9
XU,North America,31435123430970.3,5.124952640994172,10
XT,Upper middle income,30891808644564.4,3.427547166457624,11
V3,Late-demographic dividend,29910723278948.7,3.4859564655385387,12
US,United States,29184890000000.0,5.281903143242116,13
Z7,Europe & Central Asia,29146936906252.2,5.539234034299822,14
4E,East Asia & Pacific (excluding high income),22260874526758.1,2.8495836334567404,15
T4,East Asia & Pacific (IDA & IBRD countries),22233410782170.8,2.8497138238761184,16
EU,European Union,19423319451330.3,4.411443886887572,17
CN,China,18743803170827.2,2.5913370233882627,18
XC,Euro area,16406126934435.8,3.9201842128116393,19
V2,Early-demographic dividend,16021674099781.5,5.768708050186982,20
XN,Lower middle income,7857490239272.0,4.34094583781573,21
ZJ,Latin America & Caribbean,7313631690222.71,2.607071779470288,22
T2,Latin America & the Caribbean (IDA & IBRD countries),6977493595927.05,2.5348645236960254,23
XJ,Latin America & Caribbean (excluding high income),6146374383733.38,2.4845824545351953,24
T7,Europe & Central Asia (IDA & IBRD countries),6097876994310.88,9.747849856049843,25
ZQ,"Middle East, North Africa, Afghanistan & Pakistan",5025772564328.3,3.9002710637488196,26
DE,Germany,4659929336890.62,2.965846553847742,27
8S,South Asia,4514924632400.27,7.235771714749982,28
T5,South Asia (IDA & IBRD),4514924632400.27,7.235771714749982,29
JP,Japan,4026210821146.81,-4.437431656568832,30
IN,India,3912686168582.21,7.53601468387631,31
1A,Arab World,3704768275595.84,2.738931480326123,32
GB,United Kingdom,3643834188782.91,8.13007502493035,33
FR,France,3162079073495.78,3.6125014794310863,34
XG,IDA total,2807015624603.16,0.9282239011678071,35
B8,Central Europe and the Baltics,2455559190577.36,7.986724434340924,36
7E,Europe & Central Asia (excluding high income),2421839057172.22,13.449024426033343,37
IT,Italy,2372774547793.12,2.957964761563827,38
CA,Canada,2241253230970.34,3.1248479858649776,39
BR,Brazil,2179412080828.59,-0.5348690133374029,40
RU,Russian Federation,2173835806671.66,4.939888912909918,41
XQ,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2153572215659.73,5.591770416927437,42
T3,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",2139861115659.73,5.845758039341,43
T6,Sub-Saharan Africa (IDA & IBRD countries),1860829213452.29,-4.388779510261891,44
ZG,Sub-Saharan Africa,1860829213452.29,-4.388779510261891,45
MX,Mexico,1852722885258.11,3.2848736416530464,46
XI,IDA only,1762363031559.76,7.55144111421759,47
AU,Australia,1752193307380.34,1.3967123920914153,48
ZF,Sub-Saharan Africa (excluding high income),1745534471319.04,-4.392934492227845,49
ES,Spain,1722745978335.16,6.336388522152844,50
