,AAPL,AMZN,BAC,DIA,GOOGL,GS,JNJ,JPM,KO,META,MSFT,NVDA,PG,QQQ,SPY,TSLA,WMT,XOM
AAPL,1.0,0.4922675817702541,0.3849390325960897,0.6287601162407327,0.5403110993791292,0.4455965927885678,0.29303293308328754,0.3917162103554764,0.3119368574414005,0.43076920901907584,0.5933956397154048,0.4896941078882989,0.32521613342788547,0.7695562795677936,0.7006965579351316,0.38219516037396734,0.302566482479289,0.2919302333232185
AMZN,0.4922675817702541,1.0,0.32007468573719333,0.5100249485729118,0.6083307505572022,0.37915866432515033,0.1967127187626707,0.31419442459341645,0.19044889235541476,0.5170184779356785,0.5950271541636163,0.4893414692536947,0.19838440310689806,0.7302986543719416,0.6235884312040669,0.3783422670563165,0.24938311253386428,0.19724767169054538
BAC,0.3849390325960897,0.32007468573719333,1.0,0.7332463796775356,0.38941466898173677,0.8012064781228171,0.3350250496125145,0.8630212020851789,0.36809488587038514,0.29203753245446384,0.41304531416381846,0.33420363010265447,0.29604475755790766,0.535361107255711,0.6929718116317128,0.2689423571813697,0.24884812374356716,0.5269690727666289
DIA,0.6287601162407327,0.5100249485729118,0.7332463796775356,1.0,0.594470315658574,0.7842873147570005,0.5668016570454661,0.7725532798908334,0.5893901680169017,0.4363816682597031,0.6815637390660821,0.5165978958849718,0.5375974702651348,0.819240171489549,0.9513543952435829,0.37919352589850713,0.44879568163734024,0.6090491781605064
GOOGL,0.5403110993791292,0.6083307505572022,0.38941466898173677,0.594470315658574,1.0,0.4440923621140101,0.2784419896663219,0.39956134039986074,0.28862989582046805,0.5281616290516673,0.6442624803894093,0.507127300851081,0.2705455324090289,0.7625876836790481,0.6932760306085746,0.3640221696688119,0.2536238856547821,0.27693755236966705
GS,0.4455965927885678,0.37915866432515033,0.8012064781228171,0.7842873147570005,0.4440923621140101,1.0,0.3415470469746028,0.8176766642946272,0.3542025984898067,0.33299998792257424,0.4715480976932687,0.40393219680532494,0.29162545512452603,0.610502374368196,0.7416953475471294,0.31124450648384644,0.2634893070213228,0.5088870373558815
JNJ,0.29303293308328754,0.1967127187626707,0.3350250496125145,0.5668016570454661,0.2784419896663219,0.3415470469746028,1.0,0.37587825693894084,0.4970910452405441,0.16663832579490634,0.33252284037978685,0.13689060868532435,0.5239367867271115,0.3759670060804433,0.49947891837661584,0.09935688066423436,0.3438298272247475,0.32486382685723836
JPM,0.3917162103554764,0.31419442459341645,0.8630212020851789,0.7725532798908334,0.39956134039986074,0.8176766642946272,0.37587825693894084,1.0,0.41349750036214894,0.29208410481798935,0.43775874362608164,0.34615373186834697,0.3209747081708541,0.5508832007582728,0.7186269464197935,0.2679885925536836,0.26803937287044316,0.5373569821770708
KO,0.3119368574414005,0.19044889235541476,0.36809488587038514,0.5893901680169017,0.28862989582046805,0.3542025984898067,0.4970910452405441,0.41349750036214894,1.0,0.1589651991207681,0.34899478729313,0.15850465959354018,0.6053093886475482,0.38910425143626687,0.5365368114968099,0.1313669066574823,0.3550010302957602,0.372443901751845
META,0.43076920901907584,0.5170184779356785,0.29203753245446384,0.4363816682597031,0.5281616290516673,0.33299998792257424,0.16663832579490634,0.29208410481798935,0.1589651991207681,1.0,0.4844330258468329,0.4275089290764733,0.16942230405411127,0.6199807618533106,0.5359990588651414,0.2946877391873562,0.17516988024040323,0.1717748536111816
MSFT,0.5933956397154048,0.5950271541636163,0.41304531416381846,0.6815637390660821,0.6442624803894093,0.4715480976932687,0.33252284037978685,0.43775874362608164,0.34899478729313,0.4844330258468329,1.0,0.5790765871024314,0.3645936022510712,0.8196669016444722,0.7577376445352764,0.37116393088360816,0.3219983087005169,0.28360440333209197
NVDA,0.4896941078882989,0.4893414692536947,0.33420363010265447,0.5165978958849718,0.507127300851081,0.40393219680532494,0.13689060868532435,0.34615373186834697,0.15850465959354018,0.4275089290764733,0.5790765871024314,1.0,0.16901690467838487,0.7251651535880733,0.6357158111769519,0.3827223327046387,0.19919784218862877,0.2097602186840283
PG,0.32521613342788547,0.19838440310689806,0.29604475755790766,0.5375974702651348,0.2705455324090289,0.29162545512452603,0.5239367867271115,0.3209747081708541,0.6053093886475482,0.16942230405411127,0.3645936022510712,0.16901690467838487,1.0,0.38638746619120456,0.49563782093420966,0.10544348434441397,0.4345821249752404,0.26289525490512655
QQQ,0.7695562795677936,0.7302986543719416,0.535361107255711,0.819240171489549,0.7625876836790481,0.610502374368196,0.3759670060804433,0.5508832007582728,0.38910425143626687,0.6199807618533106,0.8196669016444722,0.7251651535880733,0.38638746619120456,1.0,0.931777124040974,0.5309977313000243,0.38052020631507766,0.37727747656711064
SPY,0.7006965579351316,0.6235884312040669,0.6929718116317128,0.9513543952435829,0.6932760306085746,0.7416953475471294,0.49947891837661584,0.7186269464197935,0.5365368114968099,0.5359990588651414,0.7577376445352764,0.6357158111769519,0.49563782093420966,0.931777124040974,1.0,0.4622664486552883,0.43271832734050164,0.5529080566665987
TSLA,0.38219516037396734,0.3783422670563165,0.2689423571813697,0.37919352589850713,0.3640221696688119,0.31124450648384644,0.09935688066423436,0.2679885925536836,0.1313669066574823,0.2946877391873562,0.37116393088360816,0.3827223327046387,0.10544348434441397,0.5309977313000243,0.4622664486552883,1.0,0.15613448767179872,0.16886426357958526
WMT,0.302566482479289,0.24938311253386428,0.24884812374356716,0.44879568163734024,0.2536238856547821,0.2634893070213228,0.3438298272247475,0.26803937287044316,0.3550010302957602,0.17516988024040323,0.3219983087005169,0.19919784218862877,0.4345821249752404,0.38052020631507766,0.43271832734050164,0.15613448767179872,1.0,0.1985239089786228
XOM,0.2919302333232185,0.19724767169054538,0.5269690727666289,0.6090491781605064,0.27693755236966705,0.5088870373558815,0.32486382685723836,0.5373569821770708,0.372443901751845,0.1717748536111816,0.28360440333209197,0.2097602186840283,0.26289525490512655,0.37727747656711064,0.5529080566665987,0.16886426357958526,0.1985239089786228,1.0
