word,count
concerns,2504
market,2426
investors,2291
markets,2109
fed,2109
earnings,2104
stock,1857
johnson,1839
amid,1495
guidance,1483
volatility,1477
economic,1462
sector,1413
growth,1412
analysts,1382
signals,1292
raises,1280
announces,1273
expectations,1237
unemployment,1220
gdp,1219
rally,1219
wall,1187
street,1187
tech,1176
goldman,956
tesla,936
walmart,932
google,927
bank,917
meta,916
nvidia,916
sachs,909
trading,900
microsoft,896
coca-cola,896
apple,878
amazon,876
decision,869
await,869
flat,869
exxon,866
jpmorgan,857
america,856
maintains,847
uncertainty,847
expected,829
experts,829
"continue,",829
say,829
rotation,820
continues,820
portfolios,820
reassess,820
new,801
patent,801
files,801
ceo,790
priorities,790
strategic,790
conference,790
discusses,790
report,780
next,780
mixed,780
"week,",780
holiday,777
weekend,777
light,777
volume,777
ahead,777
regulatory,773
dividend,666
confidence,666
full-year,664
outlook,664
misses,664
faces,664
scrutiny,664
"estimates,",664
cuts,664
strong,660
beat,660
surges,660
employees,648
mount,648
layoffs,648
affecting,648
plunges,636
disappointing,636
resilience,635
exceeds,635
shows,635
economy,635
potential,626
rate,626
"cuts,",626
oil,625
quarterly,625
revenue,625
surge,625
inflation,625
raising,625
prices,625
record,625
partners,617
deal,617
landmark,617
worth,617
recalls,616
safety,616
due,616
sparking,615
rises,615
tumble,614
rates,614
"again,",614
target,612
'buy',612
upgrades,612
falls,605
lowest,605
decades,605
optimistic,602
"innovation,",602
bullish,602
drives,602
initiative,602
sales,602
exceed,602
high,593
leads,593
hits,593
all-time,593
recession,584
grow,584
contracts,584
fears,584
"escalate,",583
slide,583
tensions,583
trade,583
stocks,583
downgrades,575
citing,575
expands,561
jumps,561
competition,372
environmental,278
compliance,278
supply,273
chain,273
practices,260
labor,260
data,258
privacy,258
quantum,171
computing,171
blockchain,167
learning,162
machine,162
"16%,",160
"23%,",152
"17%,",151
"9%,",146
systems,145
autonomous,145
"24%,",144
"8%,",142
"11%,",142
"13%,",139
"21%,",138
"3%,",138
"7%,",137
"4%,",137
"10%,",136
"22%,",136
"12%,",136
"6%,",135
"14%,",131
"19%,",130
azure,129
increased,129
gpus,129
"2%,",128
"20%,",128
"15%,",126
model,124
cloud,123
10%,122
healthcare,120
"america,",119
aws,119
ibm,119
"europe,",119
latin,119
quest,118
"18%,",117
"east,",117
"5%,",117
middle,117
iphone,117
banking,116
investment,116
11%,115
20%,115
margin,113
saturation,113
pressure,113
17%,113
19%,112
"asia,",112
slowing,111
14%,110
24%,110
headwinds,109
23%,109
intel,109
13%,107
18%,106
21%,105
salesforce,103
16%,102
adobe,98
amd,97
22%,96
15%,95
"africa,",94
12%,94
oracle,91
america's,61
meta's,56
walmart's,52
jpmorgan's,51
exxon's,49
amazon's,48
apple's,47
sachs's,47
microsoft's,45
johnson's,43
tesla's,43
google's,37
coca-cola's,35
$43b,35
nvidia's,34
$29b,32
$27b,32
$25b,31
$45b,31
$9b,31
$38b,30
$5b,30
$31b,29
$3b,29
$18b,28
$47b,28
$21b,28
$33b,28
$10b,28
$39b,27
$11b,27
$16b,27
$44b,27
$1b,27
$37b,27
$30b,27
$36b,26
$6b,26
$14b,26
$49b,26
$40b,25
$19b,25
$48b,25
$23b,24
$42b,24
$12b,24
$34b,23
$32b,23
$26b,23
$2b,22
$41b,22
$28b,22
$46b,21
$17b,21
$20b,21
$7b,21
$22b,21
$35b,20
$24b,20
$13b,20
$8b,19
$15b,18
$4b,15
$445,6
$213,5
$487,5
$195,5
$424,5
$256,5
$449,5
$281,4
$369,4
$114,4
$291,4
$306,4
$141,4
$235,4
$374,4
$405,4
$442,4
$385,4
$232,4
$240,4
$154,4
$248,4
$330,3
$392,3
$463,3
$347,3
$447,3
$488,3
$190,3
$219,3
$321,3
$496,3
$467,3
$414,3
$101,3
$103,3
$323,3
$271,3
$231,3
$300,3
$344,3
$259,3
$267,3
$413,3
$381,3
$475,3
$140,3
$305,3
$261,3
$429,3
$331,3
$376,3
$397,3
$308,3
$354,3
$136,3
$153,3
$332,3
$280,3
$363,3
$472,3
$175,3
$440,3
$199,3
$180,3
$216,3
$341,3
$356,3
$236,3
$161,3
$268,3
$144,3
$185,3
$125,3
$211,3
$187,3
$314,3
$165,3
$210,3
$335,3
$494,3
$461,3
288,2
8249,2
$358,2
$273,2
$221,2
$401,2
$293,2
$482,2
$416,2
$105,2
$337,2
$368,2
$207,2
$217,2
$396,2
$287,2
$448,2
7339,2
$365,2
$130,2
$469,2
$188,2
$170,2
$283,2
$452,2
$289,2
$404,2
$288,2
$350,2
6098,2
$110,2
$262,2
$215,2
$476,2
5724,2
$493,2
8146,2
$322,2
$260,2
$460,2
$152,2
$357,2
$490,2
$436,2
6911,2
$425,2
$430,2
$489,2
$352,2
$388,2
4322,2
$266,2
$433,2
$134,2
$284,2
$473,2
$122,2
$204,2
$361,2
$479,2
$292,2
$146,2
$375,2
$151,2
$370,2
$313,2
$327,2
$269,2
$179,2
$415,2
$233,2
$409,2
$128,2
$225,2
$186,2
$294,2
$483,2
$348,2
8813,2
9459,2
$423,2
$377,2
$400,2
$309,2
$142,2
$157,2
$176,2
8814,2
$312,2
9062,2
$343,2
5106,2
6653,2
$296,2
$131,2
$339,2
$191,2
$303,2
$439,2
230,2
$299,2
$203,2
$113,2
$129,2
$138,2
$135,2
$360,2
$457,2
$220,2
$242,2
$222,2
$395,2
$139,2
$349,2
2534,2
$100,2
$132,2
1090,1
4774,1
6441,1
738,1
8946,1
5468,1
8512,1
$462,1
