word,count
concerns,2504
market,1004
regulatory,773
full-year,664
outlook,664
misses,664
faces,664
scrutiny,664
"estimates,",664
earnings,664
cuts,664
announces,648
employees,648
mount,648
amid,648
volatility,648
layoffs,648
affecting,648
disappointing,636
stock,636
plunges,636
guidance,636
oil,625
surge,625
inflation,625
raising,625
prices,625
recalls,616
safety,616
due,616
sparking,615
unemployment,615
economic,615
rises,615
markets,614
raises,614
tumble,614
rates,614
"again,",614
fed,614
johnson,601
recession,584
gdp,584
grow,584
contracts,584
fears,584
slide,583
"escalate,",583
tensions,583
trade,583
tech,583
stocks,583
downgrades,575
wall,575
street,575
citing,575
competition,372
goldman,326
bank,320
meta,290
google,282
sachs,279
environmental,278
compliance,278
apple,277
tesla,275
supply,273
chain,273
walmart,270
microsoft,269
coca-cola,267
jpmorgan,265
amazon,265
nvidia,264
exxon,262
practices,260
labor,260
america,259
data,258
privacy,258
increased,129
saturation,113
pressure,113
margin,113
slowing,111
growth,111
headwinds,109
gpus,74
"17%,",69
"19%,",68
10%,67
"9%,",66
quest,66
aws,63
iphone,63
cloud,62
20%,62
11%,61
13%,61
america's,61
