word,count
investors,1689
markets,869
decision,869
await,869
flat,869
fed,869
economic,847
amid,847
maintains,847
uncertainty,847
guidance,847
expected,829
experts,829
"continue,",829
market,829
volatility,829
say,829
rotation,820
sector,820
continues,820
portfolios,820
reassess,820
new,801
patent,801
files,801
ceo,790
priorities,790
strategic,790
conference,790
discusses,790
report,780
next,780
analysts,780
mixed,780
earnings,780
"week,",780
holiday,777
weekend,777
trading,777
light,777
volume,777
ahead,777
johnson,472
tesla,248
microsoft,247
walmart,241
bank,238
america,238
amazon,237
apple,234
coca-cola,227
sachs,225
goldman,225
exxon,224
nvidia,223
meta,220
jpmorgan,214
google,204
quantum,171
computing,171
blockchain,167
learning,162
machine,162
systems,145
autonomous,145
