word,count
growth,1301
signals,1292
expectations,1237
stock,1221
rally,1219
johnson,766
raises,666
dividend,666
confidence,666
strong,660
beat,660
earnings,660
surges,660
resilience,635
gdp,635
exceeds,635
shows,635
economy,635
potential,626
markets,626
rate,626
fed,626
"cuts,",626
announces,625
quarterly,625
revenue,625
record,625
partners,617
deal,617
landmark,617
worth,617
target,612
wall,612
'buy',612
upgrades,612
street,612
unemployment,605
falls,605
lowest,605
decades,605
optimistic,602
"innovation,",602
analysts,602
investors,602
bullish,602
drives,602
initiative,602
sales,602
exceed,602
sector,593
market,593
tech,593
high,593
leads,593
hits,593
all-time,593
expands,561
jumps,561
google,441
nvidia,429
walmart,421
tesla,413
meta,406
sachs,405
goldman,405
coca-cola,402
exxon,380
microsoft,380
jpmorgan,378
amazon,374
apple,367
bank,359
america,359
"america,",119
ibm,119
"europe,",119
latin,119
"east,",117
middle,117
"asia,",112
intel,109
"16%,",105
salesforce,103
adobe,98
amd,97
"africa,",94
"23%,",94
"3%,",93
oracle,91
"22%,",90
"13%,",90
"24%,",89
"10%,",88
"21%,",88
"11%,",85
"6%,",84
"8%,",84
"18%,",83
"7%,",83
"17%,",82
