word,vector
concerns,"[-0.0968986228108406, 0.7584990859031677, 0.059044331312179565, 1.6488683223724365, 0.20349295437335968, -1.2598834037780762, 1.166467547416687, -0.4550863802433014, -1.0654727220535278, -0.52919602394104, 1.4240189790725708, 0.405987948179245, 0.5873523950576782, 1.0289632081985474, 0.34800001978874207, 0.08133868873119354, -0.3503042459487915, 0.5894573926925659, -0.6875660419464111, 0.3782806694507599, 0.6523320078849792, 1.15401029586792, 0.9720916748046875, 0.26653704047203064, 0.8355052471160889, -0.0654347687959671, -0.06125398352742195, -0.8705313801765442, -1.466475009918213, -0.6350187063217163, -0.5050255060195923, 0.01988886669278145, -0.6291553378105164, -0.014307821169495583, 0.43856993317604065, 1.5767052173614502, 0.720090389251709, 0.6208593845367432, -0.403170645236969, 0.35970064997673035, -0.43786194920539856, 0.5120486617088318, -0.9654977917671204, -0.42882272601127625, -1.2816203832626343, 0.9693377017974854, -0.08213406801223755, -0.23399733006954193, 0.6170192956924438, 1.1893537044525146, 0.5224875211715698, 0.45582133531570435, -0.8991724848747253, 0.7382638454437256, 0.1385723352432251, 0.3892870545387268, -0.4421207010746002, -0.4632766544818878, -0.4581984877586365, 0.814686119556427, -0.8820693492889404, -0.020698735490441322, -0.5799801349639893, -1.0954382419586182, 0.2983873784542084, 0.1207260861992836, 0.8197251558303833, 0.20805643498897552, 0.14271825551986694, 0.7158660292625427, 0.8891707062721252, 0.4449516236782074, -0.25255730748176575, -0.3374254107475281, -0.9614104628562927, 0.8893685340881348, 0.03183339163661003, -0.9083032608032227, -0.10266488045454025, 0.8749145865440369, 0.4084435999393463, -0.7847743034362793, 0.15017686784267426, 0.04121081158518791, -0.24437899887561798, 0.02139016054570675, 0.3146306872367859, -0.1842077523469925, -0.5421863198280334, 0.12493536621332169, -0.6775227785110474, 1.2769235372543335, -0.32935830950737, 0.10033047944307327, 0.790871262550354, 0.61487877368927, 0.8764693140983582, -0.3609301447868347, 0.2895052433013916, -1.0688772201538086]"
market,"[-0.6610758304595947, -0.7876436710357666, -0.26239216327667236, 0.9525609016418457, 0.39750778675079346, -0.9582858085632324, 0.11399268358945847, -0.015025220811367035, -1.4228712320327759, 0.40002965927124023, -0.7394707202911377, -0.04925142601132393, -0.761367917060852, 1.2073841094970703, -0.21310730278491974, 0.6329134702682495, 0.8886801600456238, 0.6468366980552673, 0.9028122425079346, 0.34168338775634766, 0.6215505599975586, -1.1493074893951416, 0.39250096678733826, -1.1011133193969727, 0.3499996066093445, -0.33588477969169617, -0.45709866285324097, 0.4771213233470917, -0.6834676265716553, 1.242932677268982, 1.4081388711929321, 1.2963941097259521, -0.41170376539230347, -0.25225239992141724, 0.5758950114250183, 0.4999040365219116, 0.43329688906669617, 1.3363897800445557, -0.3020714521408081, -0.09279466420412064, 0.29520878195762634, 0.012336011044681072, 0.022262288257479668, 0.08387235552072525, -0.25575029850006104, 0.8209318518638611, 0.3600701689720154, -0.20817601680755615, 0.3617557883262634, 1.3424654006958008, 0.6782054305076599, -1.9958349466323853, 0.14544884860515594, 0.20170356333255768, -0.14246472716331482, -0.32147806882858276, 0.1271291822195053, 1.2900089025497437, -0.8274528980255127, 1.266335129737854, 0.2681228518486023, 0.5472633242607117, -0.2822057604789734, -1.1134495735168457, 0.34803536534309387, -0.1329481452703476, -0.29565519094467163, -0.3921276926994324, 0.8211250901222229, 0.5609280467033386, -0.617077648639679, 0.06108223646879196, 0.8216509222984314, 0.42144107818603516, -0.31612130999565125, -1.0826364755630493, -1.1294138431549072, -0.110812246799469, 0.08942370116710663, -0.4850328266620636, 0.4576898515224457, 0.17265808582305908, -0.8758235573768616, -0.13180160522460938, 0.10803952813148499, -0.485147625207901, 0.5351857542991638, -1.005118727684021, 0.6845544576644897, 1.2096173763275146, 0.3367028534412384, 0.11065328866243362, -0.6018521189689636, 1.1933398246765137, -0.1540280133485794, -0.031120797619223595, -0.19075781106948853, 0.4800431430339813, -0.7164836525917053, -1.1408333778381348]"
investors,"[-0.5877971649169922, -0.3028047978878021, -1.344679594039917, 0.09552915394306183, 1.276447057723999, 0.2326246201992035, -0.251377671957016, 1.1742256879806519, -0.2640835642814636, 0.41222870349884033, -0.3015304207801819, -1.3349943161010742, 0.4116325080394745, -0.477532297372818, 0.5248558521270752, -0.4788490831851959, 0.33589664101600647, 0.7954971194267273, 0.2735317051410675, -0.49766799807548523, -0.8343704342842102, 0.6797865033149719, -0.8722898960113525, -0.7501352429389954, 0.4228922724723816, 0.6236436367034912, 1.2720128297805786, 0.5023317933082581, -1.1915113925933838, 0.3740334212779999, -0.04121827334165573, -0.9206483960151672, -0.5399810671806335, 0.20402222871780396, -1.1319217681884766, 0.658482551574707, -0.20680958032608032, -0.01843833364546299, -0.4975951313972473, 0.23194456100463867, -0.23849132657051086, 0.13290554285049438, 0.4471665024757385, 0.27120670676231384, 1.0834912061691284, 0.11498917639255524, -0.08830025792121887, -1.1263010501861572, -0.7009969353675842, -0.9855852127075195, -0.35202664136886597, -0.7162154316902161, -0.06916742771863937, -0.6154025197029114, -0.5385392904281616, -0.7470923066139221, 0.4319964647293091, -1.216103196144104, -0.8583575487136841, -0.5643799901008606, -0.09114978462457657, 0.046035800129175186, -0.0038870666176080704, 0.5668199062347412, -0.3544873297214508, 0.7603128552436829, -0.31560230255126953, 0.4148031771183014, -0.21966640651226044, 0.5964213609695435, 0.18231020867824554, 0.14447492361068726, 1.4525384902954102, 0.4453539252281189, -0.3492446839809418, 0.6636935472488403, 1.8479342460632324, -0.23477429151535034, 0.15790700912475586, -0.4119972288608551, 0.3465818762779236, -1.259260892868042, -1.0780231952667236, -0.10277891159057617, -0.03436357155442238, -0.44784244894981384, -0.9892298579216003, -0.24032405018806458, -0.037963394075632095, 0.6995194554328918, 0.2954367697238922, 1.2372547388076782, 1.0001839399337769, 0.4657920002937317, 1.489996075630188, 1.0036308765411377, 0.5180965662002563, -0.3377165198326111, 0.13102279603481293, -0.585455060005188]"
fed,"[-1.1209908723831177, 0.9147571325302124, -0.046091169118881226, -0.9851896166801453, 1.0067144632339478, -0.5667161345481873, 0.17172442376613617, 1.5513646602630615, 0.8443516492843628, 0.3950420618057251, 0.5235604047775269, -0.0816645473241806, 0.5119507908821106, 0.4298483729362488, 0.2489451915025711, 0.31315624713897705, -0.6238166093826294, 0.4454944133758545, -0.7243233323097229, -0.35535940527915955, -0.7770732045173645, -1.150061845779419, 0.8375256061553955, 0.731381356716156, -0.8055115938186646, -0.10203475505113602, 1.3730108737945557, 0.012980061583220959, -0.439267635345459, -0.6878149509429932, 0.7774267792701721, -0.35105451941490173, 0.11772790551185608, -0.430956095457077, 0.5361793637275696, 0.4117426872253418, 0.5486239194869995, -0.4661809504032135, -0.8286249041557312, 0.443907231092453, 1.013993263244629, 0.033652469515800476, -1.275744915008545, -0.9991762638092041, 0.7596876621246338, -0.1841500848531723, 0.19771656394004822, 0.1610782891511917, 0.18330802023410797, -0.5521442294120789, 0.3886902332305908, 0.21231527626514435, -0.38542625308036804, 0.09240622818470001, -0.167563796043396, 0.9244095683097839, -0.22534674406051636, -0.20064185559749603, 0.9855547547340393, 0.2404269129037857, -0.19848743081092834, -0.5050826668739319, 0.8744962215423584, 0.41391146183013916, -0.1358308494091034, -0.45667538046836853, 0.3133676052093506, 0.28367066383361816, -0.44177407026290894, 0.9345320463180542, 0.999991774559021, -0.6377174258232117, -1.0032674074172974, 0.8872494697570801, 0.1780218780040741, -0.4427512586116791, 0.05553315207362175, -0.32779183983802795, -0.167977973818779, 0.06520223617553711, -1.406080961227417, 0.30257588624954224, 0.0743737667798996, 0.1957075297832489, -1.8504043817520142, -0.16934357583522797, 0.8707039952278137, 0.43788576126098633, -0.25210973620414734, -1.3483633995056152, -0.3778454065322876, -0.22282543778419495, 0.24115276336669922, -0.32966694235801697, 1.2396183013916016, -0.9938158392906189, 0.6475852727890015, -1.1719779968261719, -0.7918410897254944, 0.2968403697013855]"
markets,"[-0.8642833828926086, 1.0495973825454712, -0.3728998601436615, -0.7117481827735901, 0.6237390041351318, -0.3256758153438568, 0.6845476627349854, 0.8362933993339539, 0.10513586550951004, 1.3192286491394043, -0.19564925134181976, 0.43236786127090454, 0.344043105840683, 0.7998873591423035, -0.1291039139032364, -0.7633283138275146, -0.7942669987678528, 1.0833759307861328, -0.7513391971588135, -0.6298500299453735, -0.02449285238981247, -0.9067256450653076, 0.5756049156188965, 0.09071935713291168, -0.20245686173439026, -0.9777512550354004, 0.9533174633979797, 0.34822219610214233, -0.9039008617401123, -1.0538228750228882, 0.995145857334137, -0.14217615127563477, 0.39383429288864136, -0.11204991489648819, 1.0863871574401855, 0.42926931381225586, -0.04937900975346565, -0.06289047002792358, -0.3959665596485138, 0.41404321789741516, 1.0445419549942017, -0.8152695298194885, -1.2293899059295654, -0.08603278547525406, 0.622710645198822, 0.15206171572208405, 0.19188396632671356, -0.09318475425243378, 0.024178437888622284, -0.8024644255638123, 0.8349447250366211, 0.6310378909111023, 0.3812520503997803, 0.6402275562286377, -0.8081423044204712, 0.8637472987174988, -0.5113428235054016, -0.37970370054244995, 0.6337155103683472, 0.6347364187240601, 0.4101133346557617, -0.8725675344467163, 0.44179490208625793, 0.08179179579019547, 0.39444810152053833, -0.657947301864624, 0.6077417731285095, 0.6002071499824524, -0.8789148926734924, 1.4142895936965942, 0.14376437664031982, -0.07796219736337662, -0.6472035050392151, 0.523773729801178, 1.1864303350448608, 0.3923817574977875, 0.26156705617904663, -0.2408679574728012, 0.04434577375650406, -0.7887603044509888, -1.4501084089279175, 0.2730593681335449, 0.11319244652986526, 0.011897767893970013, -1.8526549339294434, -0.09827188402414322, 0.9041045308113098, -0.5456191897392273, -0.505260705947876, -0.8343894481658936, 0.17958728969097137, -0.5637345314025879, 0.024396156892180443, -1.102798581123352, 0.5428558588027954, -0.9093510508537292, 0.8135156631469727, -0.034336768090724945, -0.3625183701515198, 0.14052820205688477]"
earnings,"[-0.9012167453765869, -0.1950334906578064, -0.031209830194711685, -0.1452866643667221, -1.070682168006897, -0.9196656942367554, -0.13400734961032867, 0.3301854133605957, -0.2823864817619324, -1.5074876546859741, -0.15752489864826202, -1.3127250671386719, -0.6576551198959351, -1.114626407623291, -0.8364704847335815, -0.41437503695487976, -0.9600807428359985, -1.0293066501617432, 0.24074730277061462, 0.3662608563899994, -1.7001380920410156, 0.3979354500770569, 0.3126203715801239, 0.5199398398399353, -0.8084006905555725, 0.7327759265899658, 0.11564431339502335, -0.2716715335845947, 0.31156840920448303, 0.9791064858436584, 0.6762166023254395, -0.2755267918109894, -0.45484718680381775, -0.507621705532074, -0.2924616038799286, 1.5974193811416626, 0.9433362483978271, -0.19795125722885132, -0.1077578067779541, -0.7365838885307312, 1.144524335861206, -0.17651493847370148, 0.03969655558466911, -0.757416844367981, -0.09455914795398712, -0.20501890778541565, -0.5594874620437622, -0.3206274211406708, 0.6072914004325867, -0.8446854948997498, -0.21981707215309143, -0.7565206289291382, 1.8647676706314087, 0.7544578909873962, -1.0890240669250488, -0.3171326220035553, 0.6681671142578125, -1.162081003189087, -0.9904172420501709, -1.275078535079956, 1.5439656972885132, -0.08950391411781311, 0.9192238450050354, -0.1854844093322754, 0.8243740200996399, -0.04597660154104233, 0.289524644613266, -0.1124100312590599, -0.8845306634902954, -0.1445685178041458, 1.0535855293273926, -0.026842398568987846, 1.3048067092895508, 0.6749938130378723, 0.11380403488874435, 0.34090155363082886, -0.7675374150276184, -0.6835199594497681, 0.22559846937656403, 0.010791802778840065, 0.6321722865104675, -1.5323512554168701, 0.7993466258049011, -1.6821173429489136, -0.229784294962883, -1.5754611492156982, -0.33427923917770386, 0.8407145738601685, -0.3317454159259796, 0.3288509249687195, 1.1613702774047852, 1.4326704740524292, -0.42176422476768494, 0.22969959676265717, 0.7111226320266724, 0.2379140406847, -1.0537846088409424, -0.5981327891349792, -0.11995317041873932, -0.47467678785324097]"
stock,"[0.7016550898551941, -0.2352112978696823, -0.09044742584228516, -0.18872183561325073, 0.20500946044921875, -0.14349021017551422, 0.4516984820365906, -0.4200814664363861, -0.5626670122146606, 0.3284851014614105, 0.6632674336433411, -1.193405270576477, -0.15001578629016876, 0.323738157749176, -0.29132798314094543, -0.4330895245075226, 0.7372169494628906, 0.17666172981262207, 0.3889278471469879, -1.2719134092330933, -0.05521956458687782, 0.41296088695526123, 1.4460655450820923, 0.06550997495651245, 0.0077730282209813595, 1.184613823890686, -0.6546074151992798, -0.7073618769645691, -0.5566972494125366, -0.6896178126335144, 1.0466228723526, 1.3225327730178833, -0.7632614374160767, -0.24145838618278503, -0.7704670429229736, 0.038693249225616455, -1.1325241327285767, -1.1774098873138428, -0.2772992253303528, -1.6018608808517456, 0.18147443234920502, -1.1656229496002197, 0.8493251204490662, -1.4607816934585571, -0.29635605216026306, 0.7342911958694458, -1.5289682149887085, -0.4239802658557892, 0.43856558203697205, -0.3885449767112732, 0.001630718121305108, -1.3422222137451172, 0.589626669883728, 0.44073888659477234, -1.0543817281723022, -1.1315399408340454, -0.4364945590496063, -0.2212419956922531, -1.2874850034713745, -1.3192830085754395, -0.6418418288230896, -0.36400970816612244, 0.5331136584281921, -0.14669352769851685, 0.2591072916984558, 0.44661757349967957, -1.2997117042541504, -0.294236958026886, -0.8308927416801453, -0.2773915231227875, -0.15657170116901398, 0.8342024683952332, -0.14292825758457184, -0.3633675277233124, 0.3712370693683624, 0.27967217564582825, -0.030047733336687088, 0.7320073246955872, 0.5094157457351685, -0.05713285878300667, -0.1877490133047104, -1.4695403575897217, -1.5392546653747559, 0.17747023701667786, -0.24645863473415375, -0.6633129119873047, 1.372576117515564, 0.01393749937415123, -0.2414456456899643, 0.8428431153297424, 0.7492860555648804, 0.6948158740997314, -0.4028168022632599, -0.07064300030469894, -0.05070355534553528, 0.5952447056770325, 0.1369151920080185, -0.8152791261672974, 0.26609405875205994, 0.08191881328821182]"
johnson,"[0.2830236852169037, 0.860511064529419, 0.6204959750175476, 1.2767609357833862, -1.7895885705947876, 0.18328417837619781, 0.522691011428833, 0.05168559402227402, 0.26790180802345276, -1.147810697555542, 0.03717159479856491, 0.41409701108932495, 0.8454927802085876, -0.6144309639930725, -0.3587765693664551, 0.0027930832002311945, 1.138095498085022, 0.7548714876174927, -1.1313759088516235, -0.5114338994026184, -0.5531917214393616, 0.011596618220210075, 0.2818039059638977, 0.6365566253662109, -0.3216274678707123, 0.9436461329460144, -0.433065801858902, 0.40138253569602966, -0.7296059131622314, 0.6961359977722168, -1.2196952104568481, -0.28122788667678833, 0.5417670011520386, -0.17288565635681152, 0.5753459930419922, -0.14840902388095856, 0.6817566752433777, -0.6633369326591492, 0.7269658446311951, 0.8190814256668091, 0.8672043085098267, -0.38949379324913025, 0.18287646770477295, -0.22774797677993774, 0.5696511268615723, -0.2734966278076172, 0.29382020235061646, 0.5636951327323914, 0.2570149004459381, -0.47872018814086914, 0.00997176580131054, -0.012043140828609467, 0.6453871726989746, -0.49085864424705505, -0.6284096240997314, 1.7148569822311401, -0.8492397665977478, 0.6978709697723389, -0.14821761846542358, 1.0469231605529785, 1.2094981670379639, -0.627483606338501, 0.25225016474723816, 0.4021435081958771, 0.4376651644706726, 0.7236508727073669, -1.6170061826705933, 0.03931869938969612, 0.8432455062866211, -0.9449502825737, 1.1034718751907349, 1.2926571369171143, -0.28136223554611206, -0.8395795822143555, -0.18018236756324768, 0.4014495313167572, 0.22361992299556732, -0.48187127709388733, 1.2269622087478638, -0.3142577111721039, -0.9047455191612244, 1.3895912170410156, -0.8002974987030029, 0.16347575187683105, -0.7724921703338623, 1.442840576171875, -0.023425085470080376, 0.770117998123169, 0.6063532829284668, -0.12694939970970154, 0.2467738687992096, -1.8278814554214478, -0.8957102298736572, -0.7439280152320862, 0.34689629077911377, -0.4325336813926697, -0.6472976803779602, -1.8283464908599854, -0.27142763137817383, -1.0541481971740723]"
amid,"[0.014053595252335072, 0.3538447916507721, 0.3470357656478882, 1.536392331123352, -0.8373866081237793, -0.8759379386901855, 0.6795454025268555, -0.5379372835159302, -1.4780778884887695, -0.2536405622959137, 1.0790011882781982, 0.22692258656024933, 1.1893411874771118, 0.8516461253166199, 1.0666495561599731, 0.7348601222038269, -1.278969168663025, 0.10847711563110352, -0.8850698471069336, -0.8968622088432312, 0.8060978055000305, 0.2602770924568176, 2.2097675800323486, -0.7806510329246521, 0.1414767950773239, 0.9580011367797852, -1.0845574140548706, -0.5584254860877991, 1.330062985420227, -0.7901775240898132, 0.14213865995407104, -0.08067464828491211, 0.8210338950157166, 0.7041835188865662, 0.04173998162150383, 0.7797132134437561, -0.005801161285489798, 0.9162471294403076, -0.3154183328151703, -1.4265966415405273, 0.11322101205587387, 0.8788249492645264, -0.074425607919693, -0.10574723780155182, -0.5299780368804932, -0.38468512892723083, 0.5699795484542847, 0.45156359672546387, -0.17659349739551544, 0.3529493808746338, -0.309495210647583, -0.8411027789115906, 0.4297844171524048, 0.13071230053901672, 0.3682369887828827, -0.3430872857570648, -0.7199841141700745, 0.1842338889837265, -0.36230340600013733, -0.4402555823326111, 0.5786826014518738, 0.024857239797711372, 1.654321551322937, -0.09064507484436035, -1.514215350151062, 0.5017058849334717, -0.5362034440040588, 1.056046724319458, -0.672293484210968, 1.4238100051879883, -1.1722455024719238, 0.16936653852462769, 0.3422383666038513, 1.0487489700317383, -1.9705603122711182, -0.04960278794169426, -1.3066281080245972, -0.07098027318716049, -0.5761927366256714, 0.3248941898345947, 0.6757263541221619, -1.0117911100387573, -0.026484670117497444, -0.23676568269729614, 0.23870009183883667, -0.20691761374473572, 0.5246468186378479, -1.0895313024520874, -0.3058071434497833, 1.289310336112976, 0.16114799678325653, 0.5631392598152161, 0.25616857409477234, 0.8622533679008484, 0.7401370406150818, 0.9675450921058655, -0.06025132164359093, 1.0294599533081055, 0.0668579712510109, -1.134368658065796]"
guidance,"[-0.5515552759170532, 0.334550142288208, -0.7160100340843201, 1.5061088800430298, -0.06912364810705185, -0.9113271236419678, -0.2991035282611847, 0.17334124445915222, -0.6356064081192017, 0.004539192654192448, 0.4800691306591034, -1.1820189952850342, 0.4439089000225067, 0.030111439526081085, 0.7043972015380859, -0.20265619456768036, 0.3512997627258301, -1.851850152015686, 0.5888696908950806, -1.3762974739074707, 0.040720123797655106, 1.1833860874176025, -0.44366222620010376, -0.8046576380729675, 0.8180100321769714, -0.6029120683670044, -1.015942931175232, 0.4031197428703308, -0.5048637986183167, -0.6632653474807739, 1.25961172580719, 0.5461982488632202, -0.3542662262916565, 1.1112078428268433, -0.8947976231575012, 0.7772124409675598, 0.12016509473323822, 0.3328481614589691, -0.25532883405685425, -0.3184302747249603, 0.4700573980808258, 0.275451123714447, -0.6762774586677551, 0.2036239504814148, -0.26065996289253235, 0.40791139006614685, -0.756646990776062, 0.07193721830844879, 0.5709669589996338, -0.040909528732299805, -0.07894432544708252, 0.6280564665794373, 0.9668233394622803, 0.7721911668777466, 0.33978718519210815, -1.135756492614746, -0.27008941769599915, 0.26428675651550293, 0.06743869185447693, -0.4933280944824219, 0.16921274363994598, 1.296255111694336, 1.1838204860687256, -0.5962417125701904, -0.38994765281677246, -0.01510580163449049, -0.9947081804275513, -0.47899603843688965, -0.6576281785964966, -0.5372206568717957, 0.23327992856502533, 1.3621704578399658, 0.43334048986434937, -0.4959430396556854, 0.5049324035644531, -0.35812240839004517, 0.3674600422382355, -1.1946133375167847, 0.4860333502292633, -0.6434352993965149, 0.13354472815990448, -1.1984801292419434, -0.7276042699813843, 0.7693868279457092, 0.22443395853042603, -0.6274957060813904, -0.6955925822257996, 0.09870593249797821, 1.4643471240997314, 0.8034345507621765, -0.4349348247051239, 1.1654136180877686, -0.3951484262943268, 1.7701996564865112, 1.2672377824783325, 0.2551528811454773, -1.0903011560440063, 0.9090255498886108, 1.1767171621322632, -0.6297184228897095]"
