country,stock_return_1y,stock_volatility,company_avg_return,company_best_return,num_companies,currency_change_1y,news_articles,news_sources,youtube_videos,youtube_views,youtube_likes,youtube_comments,youtube_engagement,social_sentiment,word_pagerank_score,word_matches,word_graph_edges,ngram_score,granger_causal_words,trend_30d,trend_90d,momentum,trend_direction,stock_return_1y_norm,company_avg_return_norm,company_best_return_norm,news_articles_norm,news_sources_norm,youtube_videos_norm,youtube_views_norm,youtube_likes_norm,youtube_engagement_norm,social_sentiment_norm,word_pagerank_score_norm,word_matches_norm,word_graph_edges_norm,ngram_score_norm,granger_causal_words_norm,trend_30d_norm,trend_90d_norm,momentum_norm,stock_volatility_norm,economic_score,social_score,cultural_score,trend_score,composite_score,overall_rank
KOREA,73.69,21.51,71.71,225.45,10.0,-3.38,94,59,25,722185,19923,2792,22715,0.8,0,0,0,0,0,1.42,28.28,-8.01,UP,77.46367382572235,76.89171424831378,72.17138181797594,41.89884808723196,56.813983872714275,46.98488655422236,46.548032650780506,48.12936104272579,47.47923074910494,65.24848150122776,46.320719020429266,46.73747411348137,46.98488655422236,46.98488655422236,50,54.84362732230413,68.96203404526852,33.4380861461855,41.87966090403707,77.17769403701806,51.54218677918822,46.763497376291326,33.4380861461855,59.03024173844051,1
USA,13.51,19.09,14.32,120.22,30.0,-6.75,100,60,25,1638970,30560,12099,42659,0.257,443,13,83,12636,0,1.16,8.38,-1.63,UP,46.64159567169729,46.59336103702359,55.70804348370494,60.99442045304233,57.840748565863,46.98488655422236,65.71466164807119,54.899058323246116,58.469442027913374,44.43989571031311,79.40030613011226,80.06184566863598,80.15113445777637,80.15113445777635,50,53.95334620779322,47.03846539524328,57.85134206428468,45.38994714526041,46.61747835436044,54.634586063756274,79.90085834855499,57.85134206428468,56.80267303701052,2
JAPAN,28.94,23.95,26.74,109.76,10.0,-3.41,96,57,25,1395078,34608,2829,37437,0.583,0,0,0,0,0,3.8,21.8,-3.46,UP,54.54429866133848,53.15034913397818,54.071566063040926,48.26403887583542,54.76045448641682,46.98488655422236,60.6157698911083,57.47532367922489,55.59184057895942,56.93271148902062,46.320719020429266,46.73747411348137,46.98488655422236,46.98488655422236,50,62.993123678211724,61.82310314817487,50.848793736679426,38.34036403272097,53.84732389765833,53.59619698127182,46.763497376291326,50.848793736679426,52.055367502371084,3
TAIWAN,20.23,24.6,28.86,146.03,10.0,3.16,100,52,25,261340,4332,1266,5598,0.5,0,0,0,0,0,-0.05,20.6,-6.91,DOWN,50.083343182415945,54.26957737597043,59.746043696643596,60.99442045304233,49.62663102067319,46.98488655422236,36.91344532631902,38.20679356123737,38.046847753749745,53.75202526315337,46.320719020429266,46.73747411348137,46.98488655422236,46.98488655422236,50,49.81011486718474,60.50107890797235,37.64726820103019,37.39751855470644,52.176460279193186,50.93109782331515,46.763497376291326,37.64726820103019,49.2673397540331,4
CANADA,22.19,14.52,19.87,71.54,10.0,2.35,100,39,25,493256,10028,2625,12653,0.0,0,0,0,0,0,3.42,14.4,-1.38,UP,51.08718620637555,49.5234161045033,48.09200898677144,60.99442045304233,36.27869000973974,46.98488655422236,41.76196262376135,41.83189422024308,41.93453029346061,34.59126486636272,46.320719020429266,46.73747411348137,46.98488655422236,46.98488655422236,50,61.6919435877727,53.67062033359262,58.80797434947665,52.018876121454895,50.30530115543942,45.84007187095523,46.763497376291326,58.80797434947665,49.10763893366827,5
INDIA,5.16,11.94,5.43,32.69,10.0,-6.11,98,29,25,1316390,39801,6876,46677,0.375,0,0,0,0,0,1.78,5.96,-0.2,UP,42.36501952370611,41.89999355055609,42.01388778287114,54.629229664438874,26.011043078252474,46.98488655422236,58.97069094398459,60.78030045629945,60.68357504627741,48.961835163955705,46.320719020429266,46.73747411348137,46.98488655422236,46.98488655422236,50,56.076324250088476,44.37238317750152,63.32327873558277,55.76124740342028,42.1325065371311,54.758213291557325,46.763497376291326,63.32327873558277,48.965493951136175,6
GERMANY,18.1,17.79,15.64,65.42,10.0,10.2,98,57,25,606522,9535,2641,12176,0.217,99,1,0,0,0,-1.15,1.14,-1.53,DOWN,48.992432141072086,47.29023899901877,47.134528889786374,54.629229664438874,54.76045448641682,46.98488655422236,44.129941375602975,41.51813463019923,41.67167776738803,42.90703487856986,53.71322268602434,49.30088731003172,46.98488655422236,46.98488655422236,50,46.043540921177026,39.0622524793547,58.233994978361466,47.27563810128947,48.14133557004543,46.40264743679893,49.227665264823024,58.233994978361466,48.8462610098586,7
FRANCE,8.48,15.76,12.16,38.15,10.0,10.2,94,60,65,1297286,35321,8719,44040,0.6,0,0,0,0,0,-1.51,6.33,-3.62,DOWN,44.06540668673973,45.45301528103149,42.86811022233821,41.89884808723196,57.840748565863,80.15113445777637,58.571296014569036,57.92909769078934,59.230446930442184,57.584177342511495,46.320719020429266,46.73747411348137,46.98488655422236,46.98488655422236,50,44.81084399339268,44.78000731823063,50.236549074156564,50.2202170557041,44.75921098388561,52.90449078672854,46.763497376291326,50.236549074156564,48.151386012246725,8
CHINA,14.7,13.82,11.78,31.88,10.0,2.74,95,55,25,292278,9105,1495,10600,0.647,0,0,0,0,0,-2.36,8.6,-5.22,STRONG_DOWN,47.251071793387055,45.25239889803288,41.887162475917236,45.08144348153369,52.70692510011936,46.98488655422236,37.56024601341379,41.24447007904535,40.80321742967232,59.38528881980982,46.320719020429266,46.73747411348137,46.98488655422236,46.98488655422236,50,41.900309580568546,47.28083650594707,44.11410244892793,53.03424817470132,46.25173534570997,48.423316577005274,46.763497376291326,44.11410244892793,46.791798831536624,9
RUSSIA,0.0,0.0,0.0,0.0,0.0,22.01,97,52,25,1097551,49959,5481,55440,0.444,0,0,0,0,0,-6.59,-0.34,-6.48,STRONG_DOWN,39.722249113690005,39.03329102507595,36.899504715805485,51.446634270137146,49.62663102067319,46.98488655422236,54.39556599850872,67.24514815541814,65.51245698752281,51.60602009871282,46.320719020429266,46.73747411348137,46.98488655422236,46.98488655422236,50,27.416120679102526,37.43175591643825,39.29267573156038,73.08059356879494,39.377770069382976,56.18837045212425,46.763497376291326,39.29267573156038,45.88958621180477,10
UK,15.74,12.05,21.99,79.95,10.0,4.49,90,56,25,639452,8313,1876,10189,0.0,0,0,0,0,0,0.14,6.6,-2.06,UP,47.783723193855415,50.64264434649555,49.40776186514471,29.16846651002505,53.73368979326809,46.98488655422236,44.81838751388052,40.74041816157124,40.57673443550915,34.59126486636272,46.320719020429266,46.73747411348137,46.98488655422236,46.98488655422236,50,50.460704912404246,45.0774627722762,56.20593453375448,55.601688937910126,49.21318377017548,34.77882193729898,46.763497376291326,56.20593453375448,45.0922130178936,11
