overall_rank,country,economic_score,social_score,cultural_score,trend_score,composite_score,stock_return_1y,youtube_engagement,news_articles,trend_direction,momentum
1,KOREA,77.17769403701806,51.54218677918822,46.763497376291326,33.4380861461855,59.03024173844051,73.69,22715,94,UP,-8.01
2,USA,46.61747835436044,54.634586063756274,79.90085834855499,57.85134206428468,56.80267303701052,13.51,42659,100,UP,-1.63
3,JAPAN,53.84732389765833,53.59619698127182,46.763497376291326,50.848793736679426,52.055367502371084,28.94,37437,96,UP,-3.46
4,TAIWAN,52.176460279193186,50.93109782331515,46.763497376291326,37.64726820103019,49.2673397540331,20.23,5598,100,DOWN,-6.91
5,CANADA,50.30530115543942,45.84007187095523,46.763497376291326,58.80797434947665,49.10763893366827,22.19,12653,100,UP,-1.38
6,INDIA,42.1325065371311,54.758213291557325,46.763497376291326,63.32327873558277,48.965493951136175,5.16,46677,98,UP,-0.2
7,GERMANY,48.14133557004543,46.40264743679893,49.227665264823024,58.233994978361466,48.8462610098586,18.1,12176,98,DOWN,-1.53
8,FRANCE,44.75921098388561,52.90449078672854,46.763497376291326,50.236549074156564,48.151386012246725,8.48,44040,94,DOWN,-3.62
9,CHINA,46.25173534570997,48.423316577005274,46.763497376291326,44.11410244892793,46.791798831536624,14.7,10600,95,STRONG_DOWN,-5.22
10,RUSSIA,39.377770069382976,56.18837045212425,46.763497376291326,39.29267573156038,45.88958621180477,0.0,55440,97,STRONG_DOWN,-6.48
11,UK,49.21318377017548,34.77882193729898,46.763497376291326,56.20593453375448,45.0922130178936,15.74,10189,90,UP,-2.06
