word,up,down,flat,total,up_ratio,down_ratio,predictive_bias
healthcare,30,10,51,91,0.32967032967032966,0.10989010989010989,0.21978021978021978
blockchain,43,18,55,116,0.3706896551724138,0.15517241379310345,0.21551724137931036
23%,29,13,35,77,0.37662337662337664,0.16883116883116883,0.2077922077922078
compliance,75,35,83,193,0.38860103626943004,0.18134715025906736,0.20725388601036268
environmental,75,35,83,193,0.38860103626943004,0.18134715025906736,0.20725388601036268
iphone,33,17,31,81,0.4074074074074074,0.20987654320987653,0.19753086419753085
"18%,",32,17,29,78,0.41025641025641024,0.21794871794871795,0.1923076923076923
"7%,",39,21,35,95,0.4105263157894737,0.22105263157894736,0.18947368421052632
17%,28,14,33,75,0.37333333333333335,0.18666666666666668,0.18666666666666668
"17%,",32,15,47,94,0.3404255319148936,0.1595744680851064,0.18085106382978722
"6%,",34,16,50,100,0.34,0.16,0.18000000000000002
cloud,34,18,38,90,0.37777777777777777,0.2,0.17777777777777776
24%,25,13,34,72,0.3472222222222222,0.18055555555555555,0.16666666666666666
"africa,",27,16,26,69,0.391304347826087,0.2318840579710145,0.15942028985507248
aws,30,17,36,83,0.3614457831325301,0.20481927710843373,0.1566265060240964
recalls,148,84,191,423,0.34988179669030733,0.19858156028368795,0.15130023640661938
due,148,84,191,423,0.34988179669030733,0.19858156028368795,0.15130023640661938
safety,148,84,191,423,0.34988179669030733,0.19858156028368795,0.15130023640661938
increased,32,19,35,86,0.37209302325581395,0.22093023255813954,0.1511627906976744
computing,43,24,59,126,0.3412698412698413,0.19047619047619047,0.1507936507936508
quantum,43,24,59,126,0.3412698412698413,0.19047619047619047,0.1507936507936508
johnson,430,256,538,1224,0.35130718954248363,0.20915032679738563,0.142156862745098
quest,26,16,33,75,0.3466666666666667,0.21333333333333335,0.13333333333333333
"2%,",31,20,37,88,0.3522727272727273,0.22727272727272727,0.12500000000000003
plunges,151,96,208,455,0.33186813186813185,0.210989010989011,0.12087912087912087
disappointing,151,96,208,455,0.33186813186813185,0.210989010989011,0.12087912087912087
new,192,125,265,582,0.32989690721649484,0.21477663230240548,0.11512027491408935
files,192,125,265,582,0.32989690721649484,0.21477663230240548,0.11512027491408935
patent,192,125,265,582,0.32989690721649484,0.21477663230240548,0.11512027491408935
shows,152,102,187,441,0.34467120181405897,0.23129251700680273,0.11337868480725624
exceeds,152,102,187,441,0.34467120181405897,0.23129251700680273,0.11337868480725624
economy,152,102,187,441,0.34467120181405897,0.23129251700680273,0.11337868480725624
resilience,152,102,187,441,0.34467120181405897,0.23129251700680273,0.11337868480725624
await,197,132,262,591,0.3333333333333333,0.2233502538071066,0.10998307952622671
flat,197,132,262,591,0.3333333333333333,0.2233502538071066,0.10998307952622671
decision,197,132,262,591,0.3333333333333333,0.2233502538071066,0.10998307952622671
"23%,",37,25,48,110,0.33636363636363636,0.22727272727272727,0.1090909090909091
faces,160,109,200,469,0.3411513859275053,0.232409381663113,0.10874200426439232
scrutiny,160,109,200,469,0.3411513859275053,0.232409381663113,0.10874200426439232
target,134,90,184,408,0.3284313725490196,0.22058823529411764,0.10784313725490197
upgrades,134,90,184,408,0.3284313725490196,0.22058823529411764,0.10784313725490197
'buy',134,90,184,408,0.3284313725490196,0.22058823529411764,0.10784313725490197
expectations,289,199,393,881,0.3280363223609535,0.22587968217934165,0.10215664018161183
regulatory,178,124,237,539,0.3302411873840445,0.2300556586270872,0.1001855287569573
"12%,",27,18,45,90,0.3,0.2,0.09999999999999998
