series_id,series_name,date,year,value
GDP,Gross Domestic Product,1970-01-01,1970,1051.2
GDP,Gross Domestic Product,1970-04-01,1970,1067.375
GDP,Gross Domestic Product,1970-07-01,1970,1086.059
GDP,Gross Domestic Product,1970-10-01,1970,1088.608
GDP,Gross Domestic Product,1971-01-01,1971,1135.156
GDP,Gross Domestic Product,1971-04-01,1971,1156.271
GDP,Gross Domestic Product,1971-07-01,1971,1177.675
GDP,Gross Domestic Product,1971-10-01,1971,1190.297
GDP,Gross Domestic Product,1972-01-01,1972,1230.609
GDP,Gross Domestic Product,1972-04-01,1972,1266.369
GDP,Gross Domestic Product,1972-07-01,1972,1290.566
GDP,Gross Domestic Product,1972-10-01,1972,1328.904
GDP,Gross Domestic Product,1973-01-01,1973,1377.49
GDP,Gross Domestic Product,1973-04-01,1973,1413.887
GDP,Gross Domestic Product,1973-07-01,1973,1433.838
GDP,Gross Domestic Product,1973-10-01,1973,1476.289
GDP,Gross Domestic Product,1974-01-01,1974,1491.209
GDP,Gross Domestic Product,1974-04-01,1974,1530.056
GDP,Gross Domestic Product,1974-07-01,1974,1560.026
GDP,Gross Domestic Product,1974-10-01,1974,1599.679
GDP,Gross Domestic Product,1975-01-01,1975,1616.116
GDP,Gross Domestic Product,1975-04-01,1975,1651.853
GDP,Gross Domestic Product,1975-07-01,1975,1709.82
GDP,Gross Domestic Product,1975-10-01,1975,1761.831
GDP,Gross Domestic Product,1976-01-01,1976,1820.487
GDP,Gross Domestic Product,1976-04-01,1976,1852.332
GDP,Gross Domestic Product,1976-07-01,1976,1886.558
GDP,Gross Domestic Product,1976-10-01,1976,1934.273
GDP,Gross Domestic Product,1977-01-01,1977,1988.648
GDP,Gross Domestic Product,1977-04-01,1977,2055.909
GDP,Gross Domestic Product,1977-07-01,1977,2118.473
GDP,Gross Domestic Product,1977-10-01,1977,2164.27
GDP,Gross Domestic Product,1978-01-01,1978,2202.76
GDP,Gross Domestic Product,1978-04-01,1978,2331.633
GDP,Gross Domestic Product,1978-07-01,1978,2395.053
GDP,Gross Domestic Product,1978-10-01,1978,2476.949
GDP,Gross Domestic Product,1979-01-01,1979,2526.61
GDP,Gross Domestic Product,1979-04-01,1979,2591.247
GDP,Gross Domestic Product,1979-07-01,1979,2667.565
GDP,Gross Domestic Product,1979-10-01,1979,2723.883
GDP,Gross Domestic Product,1980-01-01,1980,2789.842
GDP,Gross Domestic Product,1980-04-01,1980,2797.352
GDP,Gross Domestic Product,1980-07-01,1980,2856.483
GDP,Gross Domestic Product,1980-10-01,1980,2985.557
GDP,Gross Domestic Product,1981-01-01,1981,3124.206
GDP,Gross Domestic Product,1981-04-01,1981,3162.532
GDP,Gross Domestic Product,1981-07-01,1981,3260.609
GDP,Gross Domestic Product,1981-10-01,1981,3280.818
GDP,Gross Domestic Product,1982-01-01,1982,3274.302
GDP,Gross Domestic Product,1982-04-01,1982,3331.972
GDP,Gross Domestic Product,1982-07-01,1982,3366.322
GDP,Gross Domestic Product,1982-10-01,1982,3402.561
GDP,Gross Domestic Product,1983-01-01,1983,3473.413
GDP,Gross Domestic Product,1983-04-01,1983,3578.848
GDP,Gross Domestic Product,1983-07-01,1983,3689.179
GDP,Gross Domestic Product,1983-10-01,1983,3794.706
GDP,Gross Domestic Product,1984-01-01,1984,3908.054
GDP,Gross Domestic Product,1984-04-01,1984,4009.601
GDP,Gross Domestic Product,1984-07-01,1984,4084.25
GDP,Gross Domestic Product,1984-10-01,1984,4148.551
GDP,Gross Domestic Product,1985-01-01,1985,4230.168
GDP,Gross Domestic Product,1985-04-01,1985,4294.887
GDP,Gross Domestic Product,1985-07-01,1985,4386.773
GDP,Gross Domestic Product,1985-10-01,1985,4444.094
GDP,Gross Domestic Product,1986-01-01,1986,4507.894
GDP,Gross Domestic Product,1986-04-01,1986,4545.34
GDP,Gross Domestic Product,1986-07-01,1986,4607.669
GDP,Gross Domestic Product,1986-10-01,1986,4657.627
GDP,Gross Domestic Product,1987-01-01,1987,4722.156
GDP,Gross Domestic Product,1987-04-01,1987,4806.16
GDP,Gross Domestic Product,1987-07-01,1987,4884.555
GDP,Gross Domestic Product,1987-10-01,1987,5007.994
GDP,Gross Domestic Product,1988-01-01,1988,5073.372
GDP,Gross Domestic Product,1988-04-01,1988,5190.036
GDP,Gross Domestic Product,1988-07-01,1988,5282.835
GDP,Gross Domestic Product,1988-10-01,1988,5399.509
GDP,Gross Domestic Product,1989-01-01,1989,5511.253
GDP,Gross Domestic Product,1989-04-01,1989,5612.463
GDP,Gross Domestic Product,1989-07-01,1989,5695.365
GDP,Gross Domestic Product,1989-10-01,1989,5747.237
GDP,Gross Domestic Product,1990-01-01,1990,5872.701
GDP,Gross Domestic Product,1990-04-01,1990,5960.028
GDP,Gross Domestic Product,1990-07-01,1990,6015.116
GDP,Gross Domestic Product,1990-10-01,1990,6004.733
GDP,Gross Domestic Product,1991-01-01,1991,6035.178
GDP,Gross Domestic Product,1991-04-01,1991,6126.862
GDP,Gross Domestic Product,1991-07-01,1991,6205.937
GDP,Gross Domestic Product,1991-10-01,1991,6264.54
GDP,Gross Domestic Product,1992-01-01,1992,6363.102
GDP,Gross Domestic Product,1992-04-01,1992,6470.763
GDP,Gross Domestic Product,1992-07-01,1992,6566.641
GDP,Gross Domestic Product,1992-10-01,1992,6680.803
GDP,Gross Domestic Product,1993-01-01,1993,6729.459
GDP,Gross Domestic Product,1993-04-01,1993,6808.939
GDP,Gross Domestic Product,1993-07-01,1993,6882.098
GDP,Gross Domestic Product,1993-10-01,1993,7013.738
GDP,Gross Domestic Product,1994-01-01,1994,7115.652
GDP,Gross Domestic Product,1994-04-01,1994,7246.931
GDP,Gross Domestic Product,1994-07-01,1994,7331.075
GDP,Gross Domestic Product,1994-10-01,1994,7455.288
GDP,Gross Domestic Product,1995-01-01,1995,7522.289
GDP,Gross Domestic Product,1995-04-01,1995,7580.997
GDP,Gross Domestic Product,1995-07-01,1995,7683.125
GDP,Gross Domestic Product,1995-10-01,1995,7772.586
GDP,Gross Domestic Product,1996-01-01,1996,7868.468
